LD1,LD2,LD3,Label
-4.540950394710722,-5.724918811915366,1.9268465132513835,Infiltration
2.0576137881440335,-1.394371875913658,1.173199137829338,Infiltration
637.1984127867622,74.3992152159444,-332.96302277249345,Infiltration
-4.060328312186144,0.5238781616311647,0.20248188674256998,Infiltration
513.4375938397271,65.2563732501617,-265.52735043185646,Infiltration
382.9200592481049,25.009146806170286,-198.96071845050722,Infiltration
430.48357377614394,9.316663482136947,-216.11095177216592,Infiltration
-3.7257434857413596,-3.9036099870329632,-1.8770225749998843,Infiltration
428.4167394778059,28.378198413570676,-218.06476660393108,Infiltration
245.51318285812778,-43.837560614721866,-117.25744327686462,Infiltration
111.5810321509455,-45.82956566101299,-54.19403592221305,Infiltration
178.6731280002559,-59.8865657439902,-90.03939199104576,Infiltration
101.32402878833332,-41.41994087466859,-40.103968810544565,Infiltration
52.6277599725348,-37.87490048685027,-9.538796886353236,Infiltration
194.70238668606154,-35.613889635871296,-120.23666346193166,Infiltration
0.6400192114305469,-3.299311511303579,-2.306229573216138,Infiltration
2.745126476190944,-1.6942508216252068,0.9791592438230405,Infiltration
2.96883047038353,-10.156878814451229,2.362059486889356,Infiltration
-2.7908054855701345,-1.2057180121284707,-1.308321682145779,Infiltration
-1.8599403087247313,-3.4825263018618418,0.8400336220306517,Infiltration
-0.041275952782115224,-5.380708180184275,-0.7986365659301506,Infiltration
-0.17994582532456543,-5.202020221201598,0.3288255101912413,Infiltration
1.3862934739574384,-7.715951437504859,0.6811036284235767,Infiltration
-1.8980365904008953,-3.4434048152269994,0.7333343257847502,Infiltration
-0.08153177843476696,-5.391970426363914,-0.7564849683166953,Infiltration
-0.18061900540843615,-5.207930917274461,0.3644169285927487,Infiltration
1.946554745700269,-7.978654371374372,0.3717953426545789,Infiltration
-1.1772031605095903,-2.0334147074789515,-0.641759023760433,Infiltration
-0.43395813051059695,-5.888186280106523,-0.25284858342580924,Infiltration
-0.1867451044206795,-5.2311648652261145,0.3078305875404177,Infiltration
4.10000677116412,-9.973764560582007,-3.430596097546153,Infiltration
0.02614606330189931,-5.3751820437347435,-0.8987686647860053,Infiltration
-0.5329073489739091,-4.782228705331435,-1.4326934892774001,Infiltration
2.916872967390796,-9.764136019861597,-4.233461203602177,Infiltration
-1.686792047074832,-9.963901704395774,-0.3693794049672723,Infiltration
3.8284785916899264,-0.7809169037761514,2.6626686150370973,Infiltration
-41.185769119311836,49.96115362089999,125.30597236388174,Heartbleed
-40.97896373379877,27.20524314087096,117.0809595721039,Heartbleed
-38.30889727459309,29.995456493731606,116.34889687217074,Heartbleed
